#,ocla,oID,tcla,tID
147,172,8625,712,35619
148,172,8625,890,44500
149,172,8625,916,45844
150,173,8658,248,12418
151,173,8658,330,16500
152,173,8658,801,40052
153,173,8658,947,47364
154,173,8658,964,48242
155,195,9762,222,11119
156,195,9762,322,16134
157,195,9762,388,19413
158,195,9762,784,39239
159,195,9762,800,40028
160,196,9824,538,26947
161,196,9824,591,29551
162,196,9824,605,30274
163,196,9824,703,35157
164,196,9824,860,43030
165,199,9956,226,11311
166,199,9956,236,11843
167,199,9956,707,35381
168,199,9956,839,41971
169,199,9956,925,46262
170,200,10014,519,25975
171,200,10014,533,26675
172,200,10014,678,33947
173,200,10014,706,35308
174,200,10014,781,39070
175,202,10123,215,10762
176,202,10123,468,23419
177,202,10123,663,33165
178,202,10123,685,34254
179,202,10123,693,34697
180,203,10187,218,10923
181,203,10187,521,26059
182,203,10187,605,30295
183,203,10187,746,37347
184,203,10187,978,48941
185,206,10327,271,13594
186,206,10327,323,16188
187,206,10327,402,20123
188,206,10327,573,28659
189,206,10327,810,40522
190,211,10597,415,20787
191,211,10597,439,21998
192,211,10597,570,28516
193,211,10597,618,30934
194,211,10597,670,33537
195,219,10965,21,1068
196,219,10965,234,11716
197,219,10965,352,17602
198,219,10965,630,31523
199,219,10965,646,32348
200,225,11259,5,281
201,225,11259,560,28047
202,225,11259,600,30039
203,225,11259,741,37081
204,225,11259,791,39587
205,230,11500,330,16537
206,230,11500,425,21276
207,230,11500,771,38587
208,230,11500,856,42834
209,230,11500,916,45802
210,239,11978,350,17542
211,239,11978,452,22632
212,239,11978,536,26804
213,239,11978,636,31842
214,239,11978,837,41896
215,240,12003,1,99
216,240,12003,452,22642
217,240,12003,502,25132
218,240,12003,647,32356
219,240,12003,749,37457
220,247,12365,3,194
221,247,12365,483,24187
222,247,12365,625,31282
223,247,12365,845,42272
224,247,12365,962,48110
225,262,13104,536,26829
226,262,13104,614,30706
227,262,13104,664,33226
228,262,13104,872,43641
229,262,13104,964,48218
230,263,13195,446,22300
231,263,13195,476,23801
232,263,13195,570,28532
233,263,13195,799,39988
234,263,13195,813,40665
235,276,13837,400,20030
236,276,13837,422,21137
237,276,13837,437,21851
238,276,13837,589,29488
239,276,13837,599,29999
240,289,14497,520,26017
241,289,14497,694,34737
242,289,14497,698,34940
243,289,14497,756,37816
244,289,14497,762,38119
245,292,14601,409,20487
246,292,14601,450,22500
247,292,14601,647,32379
248,292,14601,825,41299
249,292,14601,926,46300
250,294,14743,317,15853
251,294,14743,334,16740
252,294,14743,465,23252
253,294,14743,672,33615
254,294,14743,759,37953
255,298,14900,330,16525
256,298,14900,709,35490
257,298,14900,726,36342
258,298,14900,879,43993
259,298,14900,999,49996
260,309,15455,590,29547
261,309,15455,656,32842
262,309,15455,722,36115
263,309,15455,766,38333
264,309,15455,952,47633
265,311,15583,640,32036
266,311,15583,718,35938
267,311,15583,925,46292
268,311,15583,950,47513
269,311,15583,992,49616
270,318,15903,527,26395
271,318,15903,565,28289
272,318,15903,709,35481
273,318,15903,850,42544
274,318,15903,931,46574
275,322,16101,347,17374
276,322,16101,384,19212
277,322,16101,518,25928
278,322,16101,761,38079
279,322,16101,831,41560
280,340,17033,491,24561
281,340,17033,638,31935
282,340,17033,866,43312
283,340,17033,947,47366
284,340,17033,976,48828
285,343,17159,168,8401
286,343,17159,628,31426
287,343,17159,670,33528
288,343,17159,703,35158
289,343,17159,788,39446
290,356,17842,413,20660
291,356,17842,532,26620
292,356,17842,600,30003
293,356,17842,718,35915
294,356,17842,838,41910
295,359,17954,451,22594
296,359,17954,494,24734
297,359,17954,716,35847
298,359,17954,773,38663
299,359,17954,826,41340
300,372,18620,409,20499
301,372,18620,439,21994
302,372,18620,587,29371
303,372,18620,731,36586
304,372,18620,817,40862
305,376,18809,5,254
306,376,18809,91,4581
307,376,18809,176,8836
308,376,18809,178,8948
309,376,18809,629,31476
310,385,19275,493,24664
311,385,19275,599,29964
312,385,19275,642,32124
313,385,19275,685,34279
314,385,19275,793,39688
315,392,19602,446,22344
316,392,19602,541,27069
317,392,19602,791,39550
318,392,19602,792,39647
319,392,19602,822,41131
320,393,19671,246,12316
321,393,19671,400,20045
322,393,19671,519,25977
323,393,19671,693,34654
324,393,19671,770,38546
325,394,19719,564,28208
326,394,19719,667,33394
327,394,19719,715,35786
328,394,19719,928,46438
329,394,19719,967,48365
330,398,19940,651,32556
331,398,19940,709,35469
332,398,19940,733,36682
333,398,19940,762,38144
334,398,19940,865,43268
335,402,20133,506,25324
336,402,20133,684,34247
337,402,20133,714,35718
338,402,20133,729,36464
339,402,20133,860,43048
340,452,22632,145,7266
341,452,22632,535,26750
342,452,22632,559,27964
343,452,22632,872,43616
344,452,22632,996,49816
345,454,22716,502,25123
346,454,22716,582,29114
347,454,22716,770,38506
348,454,22716,863,43175
349,454,22716,925,46263
350,458,22905,72,3624
351,458,22905,541,27065
352,458,22905,545,27251
353,458,22905,578,28914
354,458,22905,704,35236
355,465,23297,371,18592
356,465,23297,647,32399
357,465,23297,677,33863
358,465,23297,846,42326
359,465,23297,849,42471
360,470,23526,506,25300
361,470,23526,624,31204
362,470,23526,676,33822
363,470,23526,897,44850
364,470,23526,978,48922
365,471,23558,59,2983
366,471,23558,557,27881
367,471,23558,776,38802
368,471,23558,834,41722
369,471,23558,903,45184
370,479,23975,77,3874
371,479,23975,299,14972
372,479,23975,340,17016
373,479,23975,721,36063
374,479,23975,944,47215
375,482,24118,1,52
376,482,24118,721,36070
377,482,24118,796,39837
378,482,24118,817,40893
379,482,24118,864,43238
380,486,24338,31,1588
381,486,24338,280,14020
382,486,24338,412,20645
383,486,24338,470,23505
384,486,24338,529,26476
385,487,24395,5,292
386,487,24395,246,12341
387,487,24395,366,18322
388,487,24395,919,45980
389,487,24395,946,47305
390,488,24439,24,1229
391,488,24439,51,2565
392,488,24439,241,12090
393,488,24439,398,19935
394,488,24439,689,34483
395,489,24476,130,6503
396,489,24476,139,6972
397,489,24476,187,9372
398,489,24476,540,27000
399,489,24476,767,38366
400,490,24514,51,2560
401,490,24514,102,5112
402,490,24514,175,8754
403,490,24514,234,11741
404,490,24514,641,32067
405,493,24670,1,67
406,493,24670,83,4190
407,493,24670,148,7423
408,493,24670,179,8954
409,493,24670,560,28024
410,494,24724,553,27663
411,494,24724,557,27860
412,494,24724,739,36999
413,494,24724,852,42628
414,494,24724,998,49908
415,496,24838,405,20275
416,496,24838,575,28757
417,496,24838,847,42384
418,496,24838,872,43635
419,496,24838,953,47699
420,498,24901,440,22041
421,498,24901,499,24998
422,498,24901,629,31461
423,498,24901,701,35084
424,498,24901,767,38380
425,511,25565,36,1822
426,511,25565,73,3658
427,511,25565,305,15266
428,511,25565,457,22863
429,511,25565,947,47398
430,518,25914,40,2027
431,518,25914,67,3352
432,518,25914,86,4319
433,518,25914,230,11523
434,518,25914,834,41707
435,523,26188,59,2973
436,523,26188,173,8690
437,523,26188,208,10425
438,523,26188,481,24095
439,523,26188,817,40882
440,526,26302,163,8196
441,526,26302,621,31051
442,526,26302,632,31621
443,526,26302,753,37685
444,526,26302,992,49629
445,528,26411,413,20650
446,528,26411,545,27269
447,528,26411,785,39251
448,528,26411,799,39956
449,528,26411,989,49463
450,533,26681,9,452
451,533,26681,172,8649
452,533,26681,338,16907
453,533,26681,393,19665
454,533,26681,448,22400
455,534,26711,152,7639
456,534,26711,638,31918
457,534,26711,810,40504
458,534,26711,943,47192
459,534,26711,951,47553
460,537,26862,121,6082
461,537,26862,741,37090
462,537,26862,900,45015
463,537,26862,938,46907
464,537,26862,959,47971
465,550,27534,64,3232
466,550,27534,249,12486
467,550,27534,333,16691
468,550,27534,341,17088
469,550,27534,721,36091
470,551,27590,158,7929
471,551,27590,592,29637
472,551,27590,597,29883
473,551,27590,714,35707
474,551,27590,999,49967
475,553,27689,63,3172
476,553,27689,657,32859
477,553,27689,779,38985
478,553,27689,797,39868
479,553,27689,835,41751
480,555,27762,445,22272
481,555,27762,588,29421
482,555,27762,599,29982
483,555,27762,882,44103
484,555,27762,967,48396
485,560,28041,88,4409
486,560,28041,208,10437
487,560,28041,301,15079
488,560,28041,494,24725
489,560,28041,908,45421
490,561,28080,59,2951
491,561,28080,80,4022
492,561,28080,203,10194
493,561,28080,508,25417
494,561,28080,819,40955
495,564,28214,208,10434
496,564,28214,300,15012
497,564,28214,380,19007
498,564,28214,482,24118
499,564,28214,950,47511
500,573,28662,306,15330
501,573,28662,336,16800
502,573,28662,412,20631
503,573,28662,424,21247
504,573,28662,984,49242
505,576,28804,8,417
506,576,28804,18,947
507,576,28804,62,3127
508,576,28804,100,5045
509,576,28804,163,8172
510,577,28868,59,2973
511,577,28868,144,7207
512,577,28868,281,14058
513,577,28868,492,24631
514,577,28868,559,27992
515,580,29010,71,3568
516,580,29010,103,5186
517,580,29010,226,11321
518,580,29010,266,13304
519,580,29010,967,48358
520,582,29140,278,13910
521,582,29140,658,32927
522,582,29140,664,33249
523,582,29140,751,37571
524,582,29140,991,49562
525,588,29442,5,297
526,588,29442,65,3280
527,588,29442,75,3769
528,588,29442,367,18377
529,588,29442,975,48797
530,589,29491,220,11048
531,589,29491,626,31338
532,589,29491,656,32806
533,589,29491,804,40206
534,589,29491,948,47403
535,590,29502,14,715
536,590,29502,226,11319
537,590,29502,276,13838
538,590,29502,421,21060
539,590,29502,523,26194
540,593,29665,183,9155
541,593,29665,298,14923
542,593,29665,456,22805
543,593,29665,464,23201
544,593,29665,482,24139
545,595,29752,370,18536
546,595,29752,387,19371
547,595,29752,469,23471
548,595,29752,559,27995
549,595,29752,754,37736
550,598,29906,415,20786
551,598,29906,433,21699
552,598,29906,507,25363
553,598,29906,533,26690
554,598,29906,810,40508
555,601,30058,69,3460
556,601,30058,127,6394
557,601,30058,298,14912
558,601,30058,340,17044
559,601,30058,560,28014
560,602,30103,239,11952
561,602,30103,393,19659
562,602,30103,418,20944
563,602,30103,578,28941
564,602,30103,846,42305
565,604,30208,241,12061
566,604,30208,364,18244
567,604,30208,469,23453
568,604,30208,519,25987
569,604,30208,983,49172
570,610,30518,223,11159
571,610,30518,619,30953
572,610,30518,631,31560
573,610,30518,689,34465
574,610,30518,752,37635
575,611,30565,324,16249
576,611,30565,394,19749
577,611,30565,589,29462
578,611,30565,610,30523
579,611,30565,628,31417
580,612,30601,49,2478
581,612,30601,58,2940
582,612,30601,374,18707
583,612,30601,378,18933
584,612,30601,397,19856
585,622,31109,88,4449
586,622,31109,95,4794
587,622,31109,235,11792
588,622,31109,282,14118
589,622,31109,514,25700
590,624,31226,287,14360
591,624,31226,677,33892
592,624,31226,725,36271
593,624,31226,817,40896
594,624,31226,858,42948
595,632,31622,98,4912
596,632,31622,329,16454
597,632,31622,364,18241
598,632,31622,450,22542
599,632,31622,549,27479
600,633,31687,29,1486
601,633,31687,45,2299
602,633,31687,261,13062
603,633,31687,534,26726
604,633,31687,645,32253
605,636,31812,252,12622
606,636,31812,402,20113
607,636,31812,446,22300
608,636,31812,550,27536
609,636,31812,619,30965
610,638,31900,299,14973
611,638,31900,751,37580
612,638,31900,857,42852
613,638,31900,949,47485
614,638,31900,986,49330
615,644,32217,93,4655
616,644,32217,111,5554
617,644,32217,152,7600
618,644,32217,189,9489
619,644,32217,482,24131
620,648,32426,45,2264
621,648,32426,245,12274
622,648,32426,352,17621
623,648,32426,493,24664
624,648,32426,978,48925
625,653,32688,86,4328
626,653,32688,107,5365
627,653,32688,425,21285
628,653,32688,432,21610
629,653,32688,916,45807
630,662,33109,141,7052
631,662,33109,160,8023
632,662,33109,581,29057
633,662,33109,643,32184
634,662,33109,968,48425
635,663,33190,147,7365
636,663,33190,282,14149
637,663,33190,464,23231
638,663,33190,544,27245
639,663,33190,571,28565
640,664,33238,159,7962
641,664,33238,269,13460
642,664,33238,289,14481
643,664,33238,402,20141
644,664,33238,519,25981
645,677,33891,141,7089
646,677,33891,181,9076
647,677,33891,208,10426
648,677,33891,274,13714
649,677,33891,371,18556
650,678,33925,158,7929
651,678,33925,221,11054
652,678,33925,332,16636
653,678,33925,498,24903
654,678,33925,594,29739
655,692,34630,93,4675
656,692,34630,217,10872
657,692,34630,267,13374
658,692,34630,649,32489
659,692,34630,913,45688
660,703,35193,152,7640
661,703,35193,164,8214
662,703,35193,471,23566
663,703,35193,671,33558
664,703,35193,679,33951
665,707,35396,47,2382
666,707,35396,381,19052
667,707,35396,429,21462
668,707,35396,679,33979
669,707,35396,996,49827
670,711,35582,159,7997
671,711,35582,199,9950
672,711,35582,221,11056
673,711,35582,637,31888
674,711,35582,674,33713
675,712,35616,195,9768
676,712,35616,273,13676
677,712,35616,406,20346
678,712,35616,491,24554
679,712,35616,631,31583
680,716,35827,196,9833
681,716,35827,209,10474
682,716,35827,316,15817
683,716,35827,375,18787
684,716,35827,648,32405
685,717,35888,165,8257
686,717,35888,229,11490
687,717,35888,266,13321
688,717,35888,324,16217
689,717,35888,590,29544
690,725,36293,132,6636
691,725,36293,166,8329
692,725,36293,224,11203
693,725,36293,662,33133
694,725,36293,719,35956
695,732,36605,126,6344
696,732,36605,174,8709
697,732,36605,232,11625
698,732,36605,267,13354
699,732,36605,378,18925
700,736,36810,152,7635
701,736,36810,387,19356
702,736,36810,519,25959
703,736,36810,711,35553
704,736,36810,730,36529
705,741,37070,25,1250
706,741,37070,30,1541
707,741,37070,39,1972
708,741,37070,82,4121
709,741,37070,124,6206
710,745,37269,123,6171
711,745,37269,153,7672
712,745,37269,550,27501
713,745,37269,564,28216
714,745,37269,631,31550
715,746,37344,268,13448
716,746,37344,312,15623
717,746,37344,348,17449
718,746,37344,546,27305
719,746,37344,944,47220
720,748,37405,16,817
721,748,37405,239,11991
722,748,37405,397,19856
723,748,37405,427,21358
724,748,37405,493,24694
725,752,37619,117,5873
726,752,37619,337,16873
727,752,37619,358,17924
728,752,37619,399,19985
729,752,37619,651,32574
730,755,37791,67,3368
731,755,37791,260,13034
732,755,37791,340,17006
733,755,37791,505,25267
734,755,37791,537,26895
735,756,37846,47,2352
736,756,37846,115,5798
737,756,37846,164,8222
738,756,37846,352,17601
739,756,37846,750,37518
740,768,38420,504,25206
741,768,38420,656,32835
742,768,38420,676,33828
743,768,38420,717,35867
744,768,38420,742,37113
745,772,38615,110,5534
746,772,38615,113,5657
747,772,38615,142,7110
748,772,38615,288,14417
749,772,38615,292,14611
750,773,38676,323,16191
751,773,38676,494,24735
752,773,38676,572,28640
753,773,38676,623,31159
754,773,38676,645,32296
755,780,39016,213,10659
756,780,39016,246,12319
757,780,39016,404,20247
758,780,39016,479,23998
759,780,39016,700,35019
760,787,39361,88,4411
761,787,39361,208,10413
762,787,39361,301,15087
763,787,39361,494,24745
764,787,39361,674,33700
765,788,39404,146,7344
766,788,39404,340,17006
767,788,39404,394,19742
768,788,39404,489,24482
769,788,39404,747,37353
770,789,39493,248,12419
771,789,39493,393,19694
772,789,39493,443,22152
773,789,39493,475,23789
774,789,39493,492,24601
775,791,39597,213,10671
776,791,39597,325,16269
777,791,39597,427,21365
778,791,39597,503,25178
779,791,39597,948,47405
780,795,39760,119,5990
781,795,39760,225,11293
782,795,39760,277,13886
783,795,39760,380,19024
784,795,39760,696,34841
785,797,39855,365,18267
786,797,39855,656,32824
787,797,39855,676,33845
788,797,39855,717,35876
789,797,39855,946,47322
790,800,40012,63,3172
791,800,40012,87,4397
792,800,40012,102,5140
793,800,40012,167,8387
794,800,40012,656,32808
795,802,40124,78,3902
796,802,40124,158,7929
797,802,40124,181,9093
798,802,40124,522,26144
799,802,40124,673,33656
800,808,40439,149,7457
801,808,40439,224,11219
802,808,40439,714,35726
803,808,40439,801,40085
804,808,40439,817,40862
805,812,40618,82,4133
806,812,40618,105,5252
807,812,40618,188,9424
808,812,40618,607,30364
809,812,40618,780,39033
810,817,40878,88,4401
811,817,40878,177,8874
812,817,40878,238,11913
813,817,40878,304,15243
814,817,40878,524,26202
815,826,41306,63,3199
816,826,41306,103,5168
817,826,41306,194,9730
818,826,41306,463,23180
819,826,41306,609,30487
820,829,41452,159,7956
821,829,41452,343,17176
822,829,41452,703,35198
823,829,41452,752,37627
824,829,41452,866,43338
825,832,41613,36,1804
826,832,41613,144,7231
827,832,41613,427,21376
828,832,41613,492,24602
829,832,41613,551,27582
830,834,41727,377,18850
831,834,41727,463,23168
832,834,41727,757,37877
833,834,41727,780,39046
834,834,41727,789,39472
835,837,41898,36,1843
836,837,41898,395,19769
837,837,41898,469,23491
838,837,41898,477,23893
839,837,41898,524,26222
840,841,42083,167,8363
841,841,42083,183,9152
842,841,42083,656,32834
843,841,42083,659,32965
844,841,42083,881,44050
845,851,42582,166,8327
846,851,42582,506,25304
847,851,42582,676,33848
848,851,42582,828,41436
849,851,42582,987,49385
850,853,42656,110,5542
851,853,42656,143,7169
852,853,42656,245,12279
853,853,42656,722,36121
854,853,42656,742,37101
855,855,42782,299,14980
856,855,42782,303,15157
857,855,42782,343,17164
858,855,42782,484,24246
859,855,42782,946,47324
860,858,42944,27,1357
861,858,42944,75,3786
862,858,42944,127,6396
863,858,42944,696,34816
864,858,42944,786,39300
865,859,42964,133,6685
866,859,42964,140,7019
867,859,42964,353,17653
868,859,42964,586,29339
869,859,42964,802,40112
870,861,43097,43,2167
871,861,43097,119,5996
872,861,43097,324,16245
873,861,43097,445,22276
874,861,43097,449,22495
875,862,43101,6,346
876,862,43101,23,1177
877,862,43101,115,5754
878,862,43101,334,16736
879,862,43101,446,22317
880,864,43231,111,5590
881,864,43231,339,16993
882,864,43231,356,17841
883,864,43231,569,28468
884,864,43231,763,38162
885,869,43480,59,2996
886,869,43480,173,8657
887,869,43480,208,10400
888,869,43480,259,12974
889,869,43480,583,29157
890,881,44068,204,10225
891,881,44068,308,15401
892,881,44068,462,23139
893,881,44068,494,24702
894,881,44068,566,28320
895,883,44198,66,3304
896,883,44198,167,8364
897,883,44198,328,16442
898,883,44198,432,21649
899,883,44198,707,35361
900,889,44454,268,13410
901,889,44454,565,28253
902,889,44454,584,29228
903,889,44454,703,35170
904,889,44454,841,42067
905,892,44632,154,7727
906,892,44632,361,18070
907,892,44632,391,19596
908,892,44632,497,24864
909,892,44632,978,48922
910,903,45175,62,3103
911,903,45175,215,10752
912,903,45175,490,24526
913,903,45175,744,37220
914,903,45175,809,40470
915,904,45222,501,25067
916,904,45222,681,34061
917,904,45222,685,34272
918,904,45222,963,48150
919,904,45222,972,48629
920,915,45773,79,3964
921,915,45773,204,10213
922,915,45773,245,12251
923,915,45773,748,37400
924,915,45773,836,41844
925,916,45831,296,14803
926,916,45831,702,35113
927,916,45831,719,35952
928,916,45831,794,39743
929,916,45831,926,46300
930,917,45861,183,9191
931,917,45861,502,25105
932,917,45861,516,25810
933,917,45861,661,33084
934,917,45861,689,34491
935,919,45950,42,2123
936,919,45950,67,3352
937,919,45950,118,5908
938,919,45950,369,18499
939,919,45950,635,31775
940,920,46033,72,3601
941,920,46033,175,8787
942,920,46033,472,23645
943,920,46033,682,34135
944,920,46033,788,39431
945,921,46070,451,22580
946,921,46070,540,27000
947,921,46070,577,28897
948,921,46070,672,33638
949,921,46070,683,34154
950,928,46419,454,22704
951,928,46419,553,27687
952,928,46419,631,31581
953,928,46419,650,32525
954,928,46419,786,39323
955,929,46471,163,8185
956,929,46471,256,12805
957,929,46471,487,24354
958,929,46471,557,27887
959,929,46471,773,38660
960,930,46545,61,3090
961,930,46545,96,4804
962,930,46545,478,23948
963,930,46545,717,35885
964,930,46545,818,40947
965,932,46632,144,7227
966,932,46632,232,11625
967,932,46632,294,14723
968,932,46632,299,14985
969,932,46632,572,28616
970,935,46754,1,72
971,935,46754,41,2072
972,935,46754,51,2599
973,935,46754,61,3074
974,935,46754,868,43433
975,940,47036,1,98
976,940,47036,14,722
977,940,47036,95,4785
978,940,47036,408,20434
979,940,47036,520,26019
980,941,47088,93,4689
981,941,47088,118,5946
982,941,47088,379,18969
983,941,47088,400,20045
984,941,47088,525,26260
985,948,47418,130,6535
986,948,47418,300,15012
987,948,47418,303,15164
988,948,47418,396,19837
989,948,47418,554,27707
990,954,47718,103,5172
991,954,47718,338,16903
992,954,47718,483,24155
993,954,47718,573,28673
994,954,47718,689,34465
995,957,47893,8,414
996,957,47893,418,20934
997,957,47893,427,21395
998,957,47893,745,37270
999,957,47893,869,43472
