#,ocla,oID,tcla,tID,idx
332,424,21246,839,41981,31
333,424,21246,575,28787,37
334,424,21246,931,46587,37
335,431,21554,754,37710,10
336,431,21554,197,9868,18
337,431,21554,581,29071,21
338,431,21554,972,48635,35
339,431,21554,490,24542,42
340,437,21899,726,36303,3
341,437,21899,190,9520,20
342,437,21899,23,1188,38
343,437,21899,214,10741,41
344,437,21899,339,16957,7
345,438,21920,567,28360,10
346,438,21920,720,36014,14
347,438,21920,444,22225,22
348,438,21920,23,1184,34
349,438,21920,51,2576,26
350,440,22047,918,45921,3
351,440,22047,562,28110,10
352,440,22047,464,23219,19
353,440,22047,814,40728,28
354,440,22047,925,46292,42
355,443,22158,248,12423,23
356,443,22158,528,26433,33
357,443,22158,458,22943,43
358,443,22158,576,28841,41
359,443,22158,854,42724,24
360,449,22470,863,43172,22
361,449,22470,629,31475,25
362,449,22470,659,32986,36
363,449,22470,950,47544,44
364,449,22470,526,26344,44
365,452,22632,535,26759,0
366,452,22632,559,27964,14
367,452,22632,145,7266,16
368,452,22632,996,49816,16
369,452,22632,872,43616,16
370,458,22905,545,27251,1
371,458,22905,578,28914,14
372,458,22905,541,27095,15
373,458,22905,72,3624,24
374,458,22905,704,35236,36
375,465,23297,677,33863,13
376,465,23297,849,42471,21
377,465,23297,371,18592,42
378,465,23297,647,32399,49
379,465,23297,846,42326,26
380,470,23526,978,48922,22
381,470,23526,676,33822,22
382,470,23526,506,25334,34
383,470,23526,624,31204,4
384,470,23526,897,44850,0
385,471,23558,776,38802,2
386,471,23558,834,41744,22
387,471,23558,557,27881,31
388,471,23558,59,2983,33
389,471,23558,903,45184,34
390,479,23975,721,36063,13
391,479,23975,944,47215,15
392,479,23975,77,3853,24
393,479,23975,299,14972,22
394,479,23975,340,17016,16
395,482,24118,1,52,2
396,482,24118,721,36070,20
397,482,24118,796,39837,37
398,482,24118,864,43238,38
399,482,24118,817,40893,43
400,486,24338,470,23505,5
401,486,24338,280,14020,20
402,486,24338,529,26476,26
403,486,24338,31,1588,38
404,486,24338,412,20645,45
405,487,24395,946,47305,5
406,487,24395,366,18322,22
407,487,24395,919,45980,30
408,487,24395,5,292,42
409,487,24395,246,12341,41
410,489,24476,540,27000,0
411,489,24476,130,6503,3
412,489,24476,767,38366,16
413,489,24476,139,6972,22
414,489,24476,187,9372,22
415,490,24514,641,32067,17
416,490,24514,51,2560,10
417,490,24514,102,5112,12
418,490,24514,175,8754,4
419,490,24514,234,11741,41
420,493,24670,179,8954,4
421,493,24670,1,67,17
422,493,24670,148,7423,23
423,493,24670,560,28024,24
424,493,24670,83,4190,40
425,494,24724,998,49908,8
426,494,24724,553,27663,13
427,494,24724,852,42628,28
428,494,24724,739,36999,49
429,494,24724,557,27860,10
430,496,24838,575,28757,7
431,496,24838,405,20275,25
432,496,24838,847,42384,34
433,496,24838,872,43635,35
434,496,24838,953,47699,49
435,498,24901,629,31461,11
436,498,24901,701,35084,34
437,498,24901,440,22041,41
438,498,24901,499,24998,48
439,498,24901,767,38380,30
440,511,25565,73,3658,8
441,511,25565,457,22863,13
442,511,25565,305,15266,16
443,511,25565,36,1822,22
444,511,25565,947,47398,48
445,518,25914,67,3352,2
446,518,25914,834,41707,7
447,518,25914,86,4319,19
448,518,25914,230,11523,23
449,518,25914,40,2027,27
450,523,26188,59,2973,23
451,523,26188,208,10425,25
452,523,26188,817,40882,32
453,523,26188,173,8690,40
454,523,26188,481,24095,45
455,526,26302,621,31051,1
456,526,26302,632,31621,21
457,526,26302,992,49629,29
458,526,26302,753,37685,35
459,526,26302,163,8196,46
460,528,26411,413,20650,0
461,528,26411,989,49463,13
462,528,26411,545,27269,19
463,528,26411,785,39268,18
464,528,26411,799,39956,6
465,534,26711,951,47553,3
466,534,26711,810,40504,4
467,534,26711,638,31925,18
468,534,26711,943,47192,42
469,534,26711,152,7639,39
470,537,26862,938,46907,7
471,537,26862,900,45015,15
472,537,26862,959,47971,21
473,537,26862,121,6082,32
474,537,26862,741,37090,40
475,550,27534,64,3232,32
476,550,27534,249,12486,36
477,550,27534,341,17088,38
478,550,27534,721,36091,41
479,550,27534,333,16691,41
480,551,27590,714,35707,7
481,551,27590,999,49967,17
482,551,27590,158,7929,29
483,551,27590,597,29883,33
484,551,27590,592,29633,37
485,553,27689,657,32859,9
486,553,27689,797,39868,18
487,553,27689,835,41776,26
488,553,27689,779,38985,35
489,553,27689,63,3172,22
490,555,27762,882,44103,3
491,555,27762,445,22272,22
492,555,27762,599,29982,32
493,555,27762,588,29421,21
494,555,27762,967,48396,46
495,560,28041,88,4409,9
496,560,28041,301,15079,29
497,560,28041,208,10437,37
498,560,28041,494,24725,25
499,560,28041,908,45421,21
500,561,28080,59,2951,1
501,561,28080,819,40955,5
502,561,28080,508,25417,17
503,561,28080,80,4022,22
504,561,28080,203,10194,44
505,564,28214,380,19007,7
506,564,28214,950,47501,11
507,564,28214,300,15012,12
508,564,28214,208,10434,34
509,564,28214,482,24103,15
510,573,28662,336,16815,15
511,573,28662,306,15330,30
512,573,28662,412,20631,31
513,573,28662,424,21247,47
514,573,28662,984,49242,42
515,576,28804,8,417,17
516,576,28804,62,3127,27
517,576,28804,100,5045,45
518,576,28804,18,947,47
519,576,28804,163,8172,22
520,577,28868,144,7207,7
521,577,28868,281,14058,8
522,577,28868,59,2973,23
523,577,28868,492,24631,31
524,577,28868,559,27992,42
525,580,29010,967,48358,8
526,580,29010,71,3568,18
527,580,29010,226,11321,21
528,580,29010,103,5186,36
529,580,29010,266,13300,0
530,582,29140,278,13910,10
531,582,29140,991,49562,12
532,582,29140,751,37571,21
533,582,29140,658,32927,27
534,582,29140,664,33249,49
535,589,29491,656,32803,6
536,589,29491,804,40206,6
537,589,29491,626,31338,38
538,589,29491,220,11044,48
539,589,29491,948,47403,3
540,590,29502,421,21060,10
541,590,29502,14,715,15
542,590,29502,226,11319,19
543,590,29502,276,13838,38
544,590,29502,523,26194,44
545,593,29665,183,9155,5
546,593,29665,456,22805,5
547,593,29665,298,14923,23
548,593,29665,464,23226,26
549,593,29665,482,24139,39
550,595,29752,469,23471,21
551,595,29752,387,19371,21
552,595,29752,754,37736,36
553,595,29752,370,18536,36
554,595,29752,559,27995,45
555,601,30058,298,14912,12
556,601,30058,560,28014,14
557,601,30058,127,6394,44
558,601,30058,340,17044,44
559,601,30058,69,3460,10
560,604,30208,469,23453,3
561,604,30208,241,12061,11
562,604,30208,983,49172,22
563,604,30208,364,18244,44
564,604,30208,519,25987,37
565,610,30518,619,30953,3
566,610,30518,223,11159,9
567,610,30518,689,34471,15
568,610,30518,752,37635,35
569,610,30518,631,31553,3
570,611,30565,589,29462,12
571,611,30565,324,16249,49
572,611,30565,394,19749,49
573,611,30565,610,30523,23
574,611,30565,628,31417,17
575,612,30601,397,19856,6
576,612,30601,374,18707,7
577,612,30601,49,2478,28
578,612,30601,378,18933,33
579,612,30601,58,2940,40
580,622,31109,514,25700,0
581,622,31109,235,11792,42
582,622,31109,95,4794,44
583,622,31109,88,4449,49
584,622,31109,282,14118,18
585,624,31226,287,14360,10
586,624,31226,725,36271,21
587,624,31226,677,33892,42
588,624,31226,817,40896,46
589,624,31226,858,42948,48
590,632,31622,329,16454,4
591,632,31622,98,4912,12
592,632,31622,549,27479,29
593,632,31622,364,18241,41
594,632,31622,450,22542,42
595,633,31687,645,32253,3
596,633,31687,261,13062,12
597,633,31687,534,26726,26
598,633,31687,29,1486,36
599,633,31687,45,2299,49
600,636,31812,619,30965,15
601,636,31812,252,12633,22
602,636,31812,550,27536,36
603,636,31812,402,20113,13
604,636,31812,446,22300,0
605,638,31900,857,42858,8
606,638,31900,299,14973,23
607,638,31900,986,49330,30
608,638,31900,949,47485,35
609,638,31900,751,37580,30
610,640,32024,133,6652,2
611,640,32024,313,15665,15
612,640,32024,16,831,31
613,640,32024,392,19637,37
614,640,32024,336,16838,38
615,648,32426,45,2264,14
616,648,32426,352,17621,21
617,648,32426,245,12274,24
618,648,32426,978,48925,25
619,648,32426,493,24664,14
620,653,32688,916,45807,7
621,653,32688,432,21610,10
622,653,32688,107,5365,15
623,653,32688,86,4328,28
624,653,32688,425,21285,35
625,662,33109,141,7052,2
626,662,33109,581,29070,7
627,662,33109,160,8023,23
628,662,33109,968,48425,25
629,662,33109,643,32184,34
630,663,33190,571,28565,15
631,663,33190,464,23231,31
632,663,33190,282,14143,49
633,663,33190,147,7365,15
634,663,33190,544,27245,45
635,664,33238,269,13460,10
636,664,33238,289,14497,31
637,664,33238,519,25981,31
638,664,33238,159,7962,12
639,664,33238,402,20141,41
640,677,33891,274,13714,14
641,677,33891,181,9076,26
642,677,33891,208,10426,26
643,677,33891,141,7089,39
644,677,33891,371,18556,6
645,678,33925,221,11054,4
646,678,33925,158,7929,29
647,678,33925,332,16636,36
648,678,33925,594,29739,39
649,678,33925,498,24903,3
650,692,34630,217,10872,22
651,692,34630,267,13360,24
652,692,34630,93,4675,25
653,692,34630,913,45688,38
654,692,34630,649,32489,39
655,703,35193,679,33951,1
656,703,35193,671,33558,8
657,703,35193,164,8214,14
658,703,35193,471,23566,16
659,703,35193,152,7640,40
660,707,35396,381,19052,2
661,707,35396,429,21462,12
662,707,35396,996,49827,27
663,707,35396,679,33979,29
664,707,35396,47,2382,32
665,711,35582,199,9950,0
666,711,35582,221,11056,6
667,711,35582,674,33713,13
668,711,35582,637,31888,38
669,711,35582,159,7997,47
670,712,35616,491,24554,4
671,712,35616,195,9768,18
672,712,35616,273,13676,26
673,712,35616,631,31583,33
674,712,35616,406,20346,46
675,716,35827,316,15817,17
676,716,35827,209,10474,24
677,716,35827,196,9833,33
678,716,35827,375,18787,37
679,716,35827,648,32405,5
680,717,35888,165,8257,7
681,717,35888,324,16217,17
682,717,35888,266,13321,21
683,717,35888,229,11490,40
684,717,35888,590,29544,44
685,725,36293,224,11203,3
686,725,36293,719,35956,6
687,725,36293,166,8329,29
688,725,36293,662,33133,33
689,725,36293,132,6636,36
690,732,36605,267,13354,4
691,732,36605,174,8709,9
692,732,36605,378,18925,25
693,732,36605,232,11625,25
694,732,36605,126,6344,44
695,736,36810,711,35587,3
696,736,36810,387,19356,6
697,736,36810,519,25959,9
698,736,36810,730,36529,29
699,736,36810,152,7635,35
700,741,37070,82,4121,21
701,741,37070,39,1974,22
702,741,37070,25,1250,0
703,741,37070,30,1541,41
704,741,37070,124,6206,6
705,745,37269,550,27507,7
706,745,37269,564,28216,16
707,745,37269,631,31553,20
708,745,37269,123,6171,21
709,745,37269,153,7672,22
710,746,37344,546,27305,5
711,746,37344,944,47220,20
712,746,37344,312,15623,23
713,746,37344,268,13448,48
714,746,37344,348,17449,49
715,748,37405,397,19856,6
716,748,37405,427,21358,8
717,748,37405,239,11991,41
718,748,37405,493,24664,44
719,748,37405,16,817,17
720,752,37619,117,5873,23
721,752,37619,337,16873,23
722,752,37619,358,17924,24
723,752,37619,399,19985,35
724,752,37619,651,32574,24
725,755,37791,340,17006,6
726,755,37791,505,25267,17
727,755,37791,67,3368,18
728,755,37791,260,13034,34
729,755,37791,537,26895,45
730,756,37846,352,17614,1
731,756,37846,750,37500,18
732,756,37846,164,8222,22
733,756,37846,47,2374,24
734,756,37846,115,5798,48
735,768,38420,504,25206,6
736,768,38420,742,37115,13
737,768,38420,717,35867,17
738,768,38420,656,32835,35
739,768,38420,676,33828,28
740,772,38615,292,14611,11
741,772,38615,288,14417,17
742,772,38615,110,5513,34
743,772,38615,113,5657,7
744,772,38615,142,7110,10
745,773,38676,623,31159,9
746,773,38676,494,24749,35
747,773,38676,572,28640,40
748,773,38676,323,16191,41
749,773,38676,645,32296,46
750,780,39016,246,12319,19
751,780,39016,700,35019,19
752,780,39016,404,20247,47
753,780,39016,479,23998,48
754,780,39016,213,10659,9
755,787,39361,88,4411,11
756,787,39361,208,10413,13
757,787,39361,674,33714,28
758,787,39361,301,15087,37
759,787,39361,494,24745,45
760,788,39404,747,37353,3
761,788,39404,340,17006,6
762,788,39404,489,24495,32
763,788,39404,394,19742,42
764,788,39404,146,7344,44
765,789,39493,492,24601,1
766,789,39493,443,22152,2
767,789,39493,248,12419,19
768,789,39493,475,23789,39
769,789,39493,393,19694,44
770,791,39597,948,47405,5
771,791,39597,427,21365,15
772,791,39597,325,16269,19
773,791,39597,503,25178,28
774,791,39597,213,10671,21
775,797,39855,365,18267,17
776,797,39855,946,47322,22
777,797,39855,656,32824,24
778,797,39855,717,35876,26
779,797,39855,676,33845,45
780,800,40012,656,32828,8
781,800,40012,167,8387,37
782,800,40012,63,3172,22
783,800,40012,87,4397,47
784,800,40012,102,5140,40
785,802,40124,78,3902,2
786,802,40124,673,33656,6
787,802,40124,158,7929,29
788,802,40124,181,9093,43
789,802,40124,522,26144,44
790,808,40439,149,7457,7
791,808,40439,817,40862,12
792,808,40439,224,11219,19
793,808,40439,714,35726,26
794,808,40439,801,40085,35
795,812,40618,105,5252,2
796,812,40618,607,30364,14
797,812,40618,188,9424,24
798,812,40618,780,39033,33
799,812,40618,82,4133,33
800,817,40878,88,4401,1
801,817,40878,524,26202,2
802,817,40878,238,11913,13
803,817,40878,177,8874,24
804,817,40878,304,15243,43
805,826,41306,463,23180,30
806,826,41306,609,30487,37
807,826,41306,63,3199,49
808,826,41306,103,5168,18
809,826,41306,194,9730,30
810,829,41452,343,17176,26
811,829,41452,752,37627,27
812,829,41452,866,43305,38
813,829,41452,703,35198,48
814,829,41452,159,7956,6
815,832,41613,36,1804,4
816,832,41613,492,24611,11
817,832,41613,427,21376,26
818,832,41613,144,7231,31
819,832,41613,551,27582,32
820,841,42083,183,9152,2
821,841,42083,659,32965,15
822,841,42083,881,44072,22
823,841,42083,656,32834,34
824,841,42083,167,8363,13
825,851,42582,506,25304,4
826,851,42582,987,49385,35
827,851,42582,828,41436,36
828,851,42582,676,33848,48
829,851,42582,166,8327,27
830,855,42782,303,15157,7
831,855,42782,343,17164,14
832,855,42782,946,47324,24
833,855,42782,299,14980,30
834,855,42782,484,24246,46
835,858,42944,27,1357,7
836,858,42944,75,3786,36
837,858,42944,127,6396,46
838,858,42944,696,34816,16
839,858,42944,786,39334,34
840,859,42964,353,17653,3
841,859,42964,802,40112,12
842,859,42964,133,6685,35
843,859,42964,140,7019,19
844,859,42964,586,29339,39
845,861,43097,43,2167,17
846,861,43097,445,22276,26
847,861,43097,449,22495,45
848,861,43097,324,16245,45
849,861,43097,119,5996,46
850,862,43101,115,5783,4
851,862,43101,446,22329,17
852,862,43101,23,1177,27
853,862,43101,334,16736,36
854,862,43101,6,304,46
855,864,43231,763,38162,12
856,864,43231,569,28468,18
857,864,43231,111,5590,40
858,864,43231,356,17841,41
859,864,43231,339,16993,43
860,869,43480,583,29157,7
861,869,43480,173,8657,7
862,869,43480,59,2996,46
863,869,43480,208,10400,0
864,869,43480,259,12974,24
865,881,44068,308,15401,1
866,881,44068,494,24702,2
867,881,44068,566,28320,20
868,881,44068,204,10243,25
869,881,44068,462,23139,39
870,889,44454,565,28253,3
871,889,44454,268,13410,10
872,889,44454,703,35170,20
873,889,44454,584,29228,28
874,889,44454,841,42067,17
875,892,44632,497,24864,14
876,892,44632,978,48922,22
877,892,44632,154,7727,27
878,892,44632,361,18070,20
879,892,44632,391,19596,46
880,903,45175,215,10752,2
881,903,45175,62,3103,3
882,903,45175,809,40470,20
883,903,45175,744,37220,20
884,903,45175,490,24526,26
885,904,45222,501,25067,17
886,904,45222,685,34272,22
887,904,45222,972,48629,29
888,904,45222,681,34061,11
889,904,45222,963,48150,0
890,915,45773,748,37400,0
891,915,45773,245,12251,1
892,915,45773,836,41844,44
893,915,45773,79,3964,14
894,915,45773,204,10218,13
895,916,45831,719,35952,2
896,916,45831,296,14803,3
897,916,45831,702,35113,13
898,916,45831,794,39743,43
899,916,45831,926,46300,0
900,917,45861,502,25105,5
901,917,45861,516,25810,10
902,917,45861,661,33084,34
903,917,45861,689,34491,41
904,917,45861,183,9191,41
905,919,45950,118,5908,8
906,919,45950,42,2123,23
907,919,45950,635,31775,25
908,919,45950,369,18499,49
909,919,45950,67,3352,2
910,920,46033,72,3601,1
911,920,46033,788,39431,31
912,920,46033,682,34135,35
913,920,46033,472,23645,45
914,920,46033,175,8787,37
915,921,46070,540,27000,0
916,921,46070,683,34151,4
917,921,46070,451,22580,30
918,921,46070,672,33638,38
919,921,46070,577,28897,47
920,928,46419,786,39324,23
921,928,46419,650,32525,25
922,928,46419,631,31581,31
923,928,46419,454,22704,4
924,928,46419,553,27687,37
925,929,46471,487,24361,4
926,929,46471,256,12805,5
927,929,46471,163,8185,35
928,929,46471,557,27887,37
929,929,46471,773,38660,10
930,930,46545,717,35885,35
931,930,46545,61,3090,40
932,930,46545,818,40947,47
933,930,46545,478,23935,48
934,930,46545,96,4804,4
935,932,46632,572,28616,16
936,932,46632,232,11625,25
937,932,46632,144,7227,27
938,932,46632,294,14723,23
939,932,46632,299,14985,35
940,935,46754,41,2072,22
941,935,46754,61,3074,24
942,935,46754,868,43433,33
943,935,46754,1,72,22
944,935,46754,51,2599,49
945,940,47036,14,722,22
946,940,47036,408,20434,34
947,940,47036,95,4785,35
948,940,47036,1,98,48
949,940,47036,520,26019,19
950,941,47088,379,18969,19
951,941,47088,118,5946,46
952,941,47088,93,4689,39
953,941,47088,400,20045,45
954,941,47088,525,26260,10
955,948,47418,554,27707,7
956,948,47418,300,15012,12
957,948,47418,303,15164,14
958,948,47418,130,6535,35
959,948,47418,396,19837,37
960,957,47893,8,414,14
961,957,47893,745,37270,20
962,957,47893,869,43472,22
963,957,47893,418,20934,34
964,957,47893,427,21395,45
965,962,48133,41,2061,11
966,962,48133,430,21524,24
967,962,48133,265,13258,31
968,962,48133,394,19742,42
969,962,48133,681,34094,32
970,966,48349,834,41720,0
971,966,48349,410,20504,4
972,966,48349,586,29314,14
973,966,48349,633,31696,46
974,966,48349,664,33247,36
975,967,48390,694,34707,7
976,967,48390,507,25374,24
977,967,48390,413,20686,36
978,967,48390,354,17737,37
979,967,48390,52,2642,42
980,985,49297,749,37450,0
981,985,49297,835,41772,22
982,985,49297,369,18484,34
983,985,49297,824,41241,41
984,985,49297,43,2159,9
985,986,49306,956,47817,17
986,986,49306,700,35018,18
987,986,49306,788,39421,21
988,986,49306,482,24123,23
989,986,49306,924,46205,5
990,989,49489,27,1357,7
991,989,49489,532,26620,20
992,989,49489,682,34144,24
993,989,49489,261,13079,29
994,989,49489,4,213,13
995,998,49943,892,44602,2
996,998,49943,714,35711,11
997,998,49943,986,49317,17
998,998,49943,571,28586,36
